Date,*RES ELE *,,*STORAGE *,,*RES CHG *,,*TOC STO *,,*ABV TOC *,,*OUTFLOW *,,*INFLOW *,,*EVAP *,,*FNF *,,*PPT INC *,,*RAIN *,,*PPTINC4 *,
,*FEET*,,*AF*,,*AF*,,*AF*,,*AF*,,*CFS*,,*CFS*,,*CFS*,,*CFS*,,*INCHES*,,*INCHES*,,*INCHES*,
9/21/2012,783.78,,2014108,,-4465,,3463000,,-1448892,,3775,,1674,,97,,719,e,0,,24.8,,,
9/22/2012,783.34,,2009437,,-4671,,3450500,,-1441063,,3929,,1615,,94,,719,e,0,,24.8,,,
9/23/2012,782.96,,2005410,,-4027,,3438000,,-1432590,,3914,,1974,,90,,744,,0,,24.8,,,
9/24/2012,782.6,,2001599,,-3811,,3425500,,-1423901,,3915,,2157,,162,,881,e,0,,24.8,,,
9/25/2012,782.21,,1997478,,-4121,,3413000,,-1415522,,3917,,1897,,111,,719,e,0,,24.8,,,
9/26/2012,781.76,,1992730,,-4748,,3400500,,-1407770,,3918,,1685,,108,,881,e,0,,24.8,,,
9/27/2012,781.46,,1989569,,-3161,,3388000,,-1398431,,3921,,2424,,97,,715,e,0,,24.8,,,
9/28/2012,781.08,,1985570,,-3999,,3375500,,-1389930,,3923,,1996,,143,,715,e,0,,24.8,,,
9/29/2012,780.63,,1980842,,-4728,,3363000,,-1382158,,4184,,1925,,125,,715,e,0,,24.8,,,
9/30/2012,780.28,,1977170,,-3671,,3350500,,-1373330,,3926,,2165,,143,,715,e,0,,--,,,
10/1/2012,779.97,,1973922,,-3249,,3338000,,-1364078,,4043,,2586,,75,,838,,0,,0,,,
10/2/2012,779.06,,1964410,,-9512,,3325500,,-1361090,,6316,,1608,,140,,715,,0,,0,,,
10/3/2012,778.17,,1955139,,-9271,,3313000,,-1357861,,6199,,1575,,154,,715,,0,,0,,,
10/4/2012,776.98,,1942793,,-12346,,3300500,,-1357707,,6307,,360,,120,,412,e,0,,0,,,
